7;Porte de la Villette
7;Corentin Cariou
7;Crimee
7;Riquet
7;Stalingrad
7;Louis Blanc
7;Chateau Landon
7;Gare de l'Est
7;Poissonniere
7;Cadet
7;Le Peletier
7;Chaussee d'Antin La Fayette
7;Opera
7;Pyramides
7;Palais Royal Musee du Louvre
7;Pont Neuf
7;Chatelet
7;Pont Marie
7;Sully Morland
7;Jussieu
7;Place Monge
7;Censier Daubenton
7;Les Gobelins
7;Place d'Italie
7;Tolbiac
7;Maison Blanche
7;Porte d'Italie
7;Porte de Choisy
7;Porte d'Ivry
7;Pierre Curie
7;Mairie d'Ivry
7;Le Kremlin Bicetre
7;Villejuif Leo Lagrange
7;Villejuif Paul Vaillant Couturier
7;Villejuif Louis Aragon
7B;Louis Blanc
7B;Jaures
7B;Bolivar
7B;Buttes Chaumont
7B;Botzaris
7B;Place des Fetes
7B;Pre St Gervais
7B;Danube
8;Balard
8;Lourmel
8;Bourcicaut
8;Felix Faure
8;Commerce
8;La Motte Picquet Grenelle
8;Ecole Militaire
8;La Tour Maubourg
8;Invalides
8;Concorde
8;Madeleine
8;Opera
8;Richelieu Drouot
8;Bonne Nouvelle
8;Strasbourg St Denis
8;Republique
8;Filles du Calvaire
8;Saint Sebastien Froissart
8;Chemin vert
8;Bastille
8;Ledru Rollin
8;Faidherbe Chaligny
8;Reuilly Diderot
8;Montgallet
8;Daumesnil
8;Michel Bizot
8;Porte Doree
8;Porte de Charenton
8;Liberte
8;Charenton Ecoles
8;Ecole Veterinaire Maisons Alfort
8;Maisons Alfort Stade
8;Maisons Alfort Les Juilliottes
8;Creteil l'Echat
8;Creteil Universite
8;Creteil Prefecture
8;Pointe du Lac
9;Pont de Sevres
9;Billancourt
9;Marcel Sembat
9;Porte de St Cloud
9;Exelmans
9;Michel Ange Molitor
9;Michel Ange Auteuil
9;Jasmin
9;Ranelagh
9;La Muette
9;Rue de la Pompe
9;Trocadero
9;Iena
9;Alma Marceau
9;Franklin Roosevelt
9;Saint Philippe du Roule
9;Miromesnil
9;Saint Augustin
9;Havre Caumartin
9;Chaussee d'Antin La Fayette
9;Richelieu Drouot
9;Grands Boulevards
9;Oberkampf
9;Saint Amboise
9;Voltaire
9;Charonne
9;Rue des Boulets
9;Nation
9;Buzenval
9;Maraichers
9;Porte de Montreuil
9;Robespierre
9;Croix de Chavaux
9;Mairie de Montreuil
10;Boulogne Pont de St Cloud
10;Boulogne Jean Jaures
10;Michel Ange Molitor
10;Chardon Lagache
10;Mirabeau
10;Javel Andre Citroen
10;Eglise d'Auteuil
10;Michel Ange Auteuil
10;Porte d'Auteuil
10;Charles michels
10;Avenue Emile Zola
10;La Motte Picquet Grenelle
10;Segur
10;Duroc
10;Vaneau
10;Sevres Babylone
10;Mabillon
10;Odeon
10;Cluny.La Sorbonne
10;Maubert Mutualite
10;Cardinal Lemoine
10;Jussieu
10;Gare d'Austerlitz
11;Chatelet
11;Rambuteau
11;Arts et Metiers
11;Republique
11;Goncourt
11;Belleville
11;Pyrenees
11;Jourdain
11;Place des Fetes
11;Telegraphe
11;Porte des Lilas
11;Mairie des Lilas
12;Porte de la Chapelle
12;Marx Dormoy
12;Marcadet Poissonniers
12;Jules Joffrin
12;Lamarck Caulaincourt
12;Abbesses
12;Pigalle
12;Saint Georges
12;Notre Dame de Lorette
12;Trinite d4estienne d'Orves
12;Saint Lazare
12;Concorde
12;Assemblee Nationale
12;Solferino
12;Rue du Bac
12;Sevres Babylone
12;Rennes
12;Notre Dame des Champs
12;Montparnasse Bienvenue
12;Falguiere
12;Pasteur
12;Volontaires
12;Vaugirard
12;Convention
12;Porte de Versailles
12;Corentin Celton
12;Mairie d'Issy
13;Saint Denis Universite
13;Basilique St Denis
13;Saint Denis Porte de Paris
13;Carrefour Pleyel
13;Mairie de St Ouen
13;Garibaldi
13;Porte de St Ouen
13;Guy Moquet
13;La Fourche
13;Brochant
13;Place de Clichy
13;Liege
13;Saint Lazare
13;Miromesnil
13;Champs Elysees Clemenceau
13;Invalides
13;Varenne
13;St Francois Xavier
13;Duroc
13;Montparnasse Bienvenue
13;Gaite
13;Permety
13;Plaisance
13;Porte de Vanves
13;Malakoff Plateau de Vanves
13;Malakoff Rue Etienne Dolet
13;Chatillon Montrouge
13;Asnieres Gennevilliers Les Courtilles
13;Les Agnettes
13;Gabriel Peri
13;Mairie de Clichy
13;Porte de Clichy
14;Saint Lazare
14;Madeleine
14;Pyramides
14;Chatelet
14;Gare de Lyon
14;Bercy
14;Cour Saint Emillion
14;Bibliotheque Francois Mitterrand
14;Olympiades
